judul,narasi,clear,token_komen,freq_words,stemmed_komen,polarity_score,polarity,score
Pemakaian Masker Menyebabkan Penyakit Legionnaires,A caller to a radio talk show recently shared that his wife was hospitalized n told she had COVID n only a couple of days left to live . A doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long . Turns out it WAS legionnaires disease from the moisture n bacteria in her mask . She was given antibiotics n within two days was better . WHAT IF these ‘spikes’ in COVID are really something else due to ‘mask induced infections’ .??🤔🤔🤔,a caller to a radio talk show recently shared that his wife was hospitalized told she had covid only a couple of days left to live a doctor friend suggested she be tested for legionnaires disease because she wore the same mask every day all day long turns out it was legionnaires disease from the moisture bacteria in her mask she was given antibiotics within two days was better what if these ‘ spikes ’ in covid are really something else due to ‘ mask induced infections ’,"['a', 'caller', 'to', 'a', 'radio', 'talk', 'show', 'recently', 'shared', 'that', 'his', 'wife', 'was', 'hospitalized', 'told', 'she', 'had', 'covid', 'only', 'a', 'couple', 'of', 'days', 'left', 'to', 'live', 'a', 'doctor', 'friend', 'suggested', 'she', 'be', 'tested', 'for', 'legionnaires', 'disease', 'because', 'she', 'wore', 'the', 'same', 'mask', 'every', 'day', 'all', 'day', 'long', 'turns', 'out', 'it', 'was', 'legionnaires', 'disease', 'from', 'the', 'moisture', 'bacteria', 'in', 'her', 'mask', 'she', 'was', 'given', 'antibiotics', 'within', 'two', 'days', 'was', 'better', 'what', 'if', 'these', '‘', 'spikes', '’', 'in', 'covid', 'are', 'really', 'something', 'else', 'due', 'to', '‘', 'mask', 'induced', 'infections', '’']",<FreqDist with 66 samples and 88 outcomes>,"['a', 'caller', 'to', 'a', 'radio', 'talk', 'show', 'recently', 'shared', 'that', 'his', 'wife', 'was', 'hospitalized', 'told', 'she', 'had', 'covid', 'only', 'a', 'couple', 'of', 'days', 'left', 'to', 'live', 'a', 'doctor', 'friend', 'suggested', 'she', 'be', 'tested', 'for', 'legionnaires', 'disease', 'because', 'she', 'wore', 'the', 'same', 'mask', 'every', 'day', 'all', 'day', 'long', 'turns', 'out', 'it', 'was', 'legionnaires', 'disease', 'from', 'the', 'moisture', 'bacteria', 'in', 'her', 'mask', 'she', 'was', 'given', 'antibiotics', 'within', 'two', 'days', 'was', 'better', 'what', 'if', 'these', '', 'spikes', '', 'in', 'covid', 'are', 'really', 'something', 'else', 'due', 'to', '', 'mask', 'induced', 'infections', '']",9,positive,1
Instruksi Gubernur Jateng tentang penilangan  bagi yg tidak bermasker di muka umum Rp.150.000 menggunakan e-tilang Via apps PIKOBAR,Yth.Seluruh Anggota Grup Sesuai Instruksi Gubernur Jawa Tengah Hasil Rapat Tim Gugus Tugas Covid 19 Jateng sbb:,ythseluruh anggota grup sesuai instruksi gubernur jawa tengah hasil rapat tim gugus tugas covid jateng sbb,"['ythseluruh', 'anggota', 'grup', 'sesuai', 'instruksi', 'gubernur', 'jawa', 'tengah', 'hasil', 'rapat', 'tim', 'gugus', 'tugas', 'covid', 'jateng', 'sbb']",<FreqDist with 16 samples and 16 outcomes>,"['ythseluruh', 'anggota', 'grup', 'sesuai', 'instruksi', 'gubernur', 'jawa', 'tengah', 'hasil', 'rapat', 'tim', 'gugus', 'tugas', 'covid', 'jateng', 'sbb']",-13,negative,-1
Foto Jim Rohn: Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia,"Jokowi adalah presiden terbaik dlm sejarah bangsa Indonesia. Jim Rohn, motivator terbaik dunia",jokowi presiden terbaik dlm sejarah bangsa indonesia jim rohn motivator terbaik dunia,"['jokowi', 'presiden', 'terbaik', 'dlm', 'sejarah', 'bangsa', 'indonesia', 'jim', 'rohn', 'motivator', 'terbaik', 'dunia']",<FreqDist with 11 samples and 12 outcomes>,"['jokowi', 'presiden', 'baik', 'dlm', 'sejarah', 'bangsa', 'indonesia', 'jim', 'rohn', 'motivator', 'baik', 'dunia']",12,positive,1
"ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss.","Maaf Mas2 dan Mbak2, ini bukan politik, tapi kenyataan Pak Jokowi berhasil memulangkan 11,000 Triliun uang negara dari Swiss. 11ribu Triliun siap di bawa balik ke Indonesia.RUU Treaty on Mutual Legal Assistance in Criminal Matters between the Republic of Indonesia and The Swiss Confederation (MLA RI-Swiss) resmi disahkan DPR RI tanggal 3 juli 2020. Dengan demikian proses konstitusi menarik dana di Swiss sudah selesai. Perjuangan yang panjang menghadapi ex koruptor yang bersenggama dengan agama. Terimakasih para kadrun yang terus nyinyirian kapan uang 11.000 triliun kembali ke Indonesia. Tanpa anda nyinyir, rasanya sulit RUU itu bisa disahkan oleh DPR. Pemilik 84 rekening gendut siap siap gigit jari . Mungkin tekanan ke Pak Jokowi makin kencang. ini baca beritanya",maaf mas mbak bukan politik kenyataan pak jokowi berhasil memulangkan triliun uang negara swiss ribu triliun siap bawa balik indonesiaruu treaty on mutual legal assistance in criminal matters between the republic of indonesia and the swiss confederation mla riswiss resmi disahkan dpr ri tanggal juli demikian proses konstitusi menarik dana swiss selesai perjuangan panjang menghadapi ex koruptor bersenggama agama terimakasih kadrun terus nyinyirian kapan uang triliun indonesia anda nyinyir rasanya sulit ruu bisa disahkan dpr pemilik rekening gendut siap siap gigit jari mungkin tekanan ke pak jokowi makin kencang baca beritanya,"['maaf', 'mas', 'mbak', 'bukan', 'politik', 'kenyataan', 'pak', 'jokowi', 'berhasil', 'memulangkan', 'triliun', 'uang', 'negara', 'swiss', 'ribu', 'triliun', 'siap', 'bawa', 'balik', 'indonesiaruu', 'treaty', 'on', 'mutual', 'legal', 'assistance', 'in', 'criminal', 'matters', 'between', 'the', 'republic', 'of', 'indonesia', 'and', 'the', 'swiss', 'confederation', 'mla', 'riswiss', 'resmi', 'disahkan', 'dpr', 'ri', 'tanggal', 'juli', 'demikian', 'proses', 'konstitusi', 'menarik', 'dana', 'swiss', 'selesai', 'perjuangan', 'panjang', 'menghadapi', 'ex', 'koruptor', 'bersenggama', 'agama', 'terimakasih', 'kadrun', 'terus', 'nyinyirian', 'kapan', 'uang', 'triliun', 'indonesia', 'anda', 'nyinyir', 'rasanya', 'sulit', 'ruu', 'bisa', 'disahkan', 'dpr', 'pemilik', 'rekening', 'gendut', 'siap', 'siap', 'gigit', 'jari', 'mungkin', 'tekanan', 'ke', 'pak', 'jokowi', 'makin', 'kencang', 'baca', 'beritanya']",<FreqDist with 78 samples and 91 outcomes>,"['maaf', 'mas', 'mbak', 'bukan', 'politik', 'nyata', 'pak', 'jokowi', 'hasil', 'pulang', 'triliun', 'uang', 'negara', 'swiss', 'ribu', 'triliun', 'siap', 'bawa', 'balik', 'indonesiaruu', 'treaty', 'on', 'mutual', 'legal', 'assistance', 'in', 'criminal', 'matters', 'between', 'the', 'republic', 'of', 'indonesia', 'and', 'the', 'swiss', 'confederation', 'mla', 'riswiss', 'resmi', 'sah', 'dpr', 'ri', 'tanggal', 'juli', 'demikian', 'proses', 'konstitusi', 'tarik', 'dana', 'swiss', 'selesai', 'juang', 'panjang', 'hadap', 'ex', 'koruptor', 'bersenggama', 'agama', 'terimakasih', 'kadrun', 'terus', 'nyinyirian', 'kapan', 'uang', 'triliun', 'indonesia', 'anda', 'nyinyir', 'rasa', 'sulit', 'ruu', 'bisa', 'sah', 'dpr', 'milik', 'rekening', 'gendut', 'siap', 'siap', 'gigit', 'jari', 'mungkin', 'tekan', 'ke', 'pak', 'jokowi', 'makin', 'kencang', 'baca', 'berita']",-11,negative,-1
Foto Kadrun kalo lihat foto ini panas dingin,Kadrun kalo lihat foto ini panas dingin . .,kadrun kalo lihat foto panas dingin,"['kadrun', 'kalo', 'lihat', 'foto', 'panas', 'dingin']",<FreqDist with 6 samples and 6 outcomes>,"['kadrun', 'kalo', 'lihat', 'foto', 'panas', 'dingin']",9,positive,1
event promo smartphone JNE 2020 spesial di bulan juni,"selamat siang teman teman fb ku semuanya🤩,cuman mau memberi informasi dan rezeky gak kemana ya😊, kemarin saya mengikuti event promo smartphone JNE 2020 spesial di bulan juni ini dan saya mesan smartphone VIVO V15 PRO cuman seharga Rp.900.000-,gak nyangka cuma seharga Rp.900.000 aku bisa mendapat hp VIVO V15 PRO 😍,bagi teman teman fb ku yg penasaran atau mau ikutan INBOX AJA WA ADMINNYA 0823-7142-9***",selamat siang teman teman fb ku semuanyacuman mau memberi informasi rezeky gak ya kemarin mengikuti event promo smartphone jne spesial bulan juni dan mesan smartphone vivo v pro cuman seharga rpgak nyangka cuma seharga rp aku mendapat hp vivo v pro teman teman fb ku penasaran mau ikutan inbox aja wa adminnya,"['selamat', 'siang', 'teman', 'teman', 'fb', 'ku', 'semuanyacuman', 'mau', 'memberi', 'informasi', 'rezeky', 'gak', 'ya', 'kemarin', 'mengikuti', 'event', 'promo', 'smartphone', 'jne', 'spesial', 'bulan', 'juni', 'dan', 'mesan', 'smartphone', 'vivo', 'v', 'pro', 'cuman', 'seharga', 'rpgak', 'nyangka', 'cuma', 'seharga', 'rp', 'aku', 'mendapat', 'hp', 'vivo', 'v', 'pro', 'teman', 'teman', 'fb', 'ku', 'penasaran', 'mau', 'ikutan', 'inbox', 'aja', 'wa', 'adminnya']",<FreqDist with 41 samples and 52 outcomes>,"['selamat', 'siang', 'teman', 'teman', 'fb', 'ku', 'semuanyacuman', 'mau', 'beri', 'informasi', 'rezeky', 'gak', 'ya', 'kemarin', 'ikut', 'event', 'promo', 'smartphone', 'jne', 'spesial', 'bulan', 'juni', 'dan', 'mesan', 'smartphone', 'vivo', 'v', 'pro', 'cuman', 'harga', 'rpgak', 'nyangka', 'cuma', 'harga', 'rp', 'aku', 'dapat', 'hp', 'vivo', 'v', 'pro', 'teman', 'teman', 'fb', 'ku', 'penasaran', 'mau', 'ikut', 'inbox', 'aja', 'wa', 'adminnya']",24,positive,1
MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!,LIHATLAH MEREKA SUDAH MEMPERSIAPKAN DIRI DENGAN BAIK UNTUK MENGUASAI NEGRI INI!,lihatlah sudah mempersiapkan diri baik menguasai negri,"['lihatlah', 'sudah', 'mempersiapkan', 'diri', 'baik', 'menguasai', 'negri']",<FreqDist with 7 samples and 7 outcomes>,"['lihat', 'sudah', 'siap', 'diri', 'baik', 'kuasa', 'negri']",3,positive,1
Foto Presiden Italia menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari,Italia punya fasilitas perawatan kesehatan tercanggih tapi semuanya gagal mengendalikan corona karena awalnya itu hanya dianggap sekadar lelucon dan sekarang presiden mereka menangis karena tak cukup lahan untuk mengubur 700an korban corona per hari (mungkin hari ini sudah lebih dari 700).,italia punya fasilitas perawatan kesehatan tercanggih semuanya gagal mengendalikan corona awalnya hanya dianggap sekadar lelucon sekarang presiden menangis tak cukup lahan mengubur an korban corona per hari mungkin hari sudah lebih,"['italia', 'punya', 'fasilitas', 'perawatan', 'kesehatan', 'tercanggih', 'semuanya', 'gagal', 'mengendalikan', 'corona', 'awalnya', 'hanya', 'dianggap', 'sekadar', 'lelucon', 'sekarang', 'presiden', 'menangis', 'tak', 'cukup', 'lahan', 'mengubur', 'an', 'korban', 'corona', 'per', 'hari', 'mungkin', 'hari', 'sudah', 'lebih']",<FreqDist with 29 samples and 31 outcomes>,"['italia', 'punya', 'fasilitas', 'awat', 'sehat', 'canggih', 'semua', 'gagal', 'kendali', 'corona', 'awal', 'hanya', 'anggap', 'sekadar', 'lelucon', 'sekarang', 'presiden', 'menang', 'tak', 'cukup', 'lahan', 'kubur', 'an', 'korban', 'corona', 'per', 'hari', 'mungkin', 'hari', 'sudah', 'lebih']",-29,negative,-1
"Kapolres Timor Tengah Utara , Nusa Tenggara Timur  Beri Klarifikasi Terkait Video Polisi Diamkan Korban Kecelakaan",Polisi goblok. Bukanya cpet” d tolongin malah d liati aja,polisi goblok bukanya cpet ” tolongin malah liati aja,"['polisi', 'goblok', 'bukanya', 'cpet', '”', 'tolongin', 'malah', 'liati', 'aja']",<FreqDist with 9 samples and 9 outcomes>,"['polisi', 'goblok', 'buka', 'cpet', '', 'tolongin', 'malah', 'liat', 'aja']",-4,negative,-1
Video Polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki,"Polisi china telah menganiaya wanita uighur lehernya di cekik pake kaki ,melek tu yg bilang tidak ada penganiayaan Dan Ham diam seribu bahasa … Seolah” polisi itu berkata liat nanti giliran anda sama orang di sekitarnya biadab",polisi telah menganiaya wanita uighur lehernya cekik pake kaki melek tu bilang ada penganiayaan ham diam seribu bahasa … seolah ” polisi berkata liat giliran sama orang sekitarnya biadab,"['polisi', 'telah', 'menganiaya', 'wanita', 'uighur', 'lehernya', 'cekik', 'pake', 'kaki', 'melek', 'tu', 'bilang', 'ada', 'penganiayaan', 'ham', 'diam', 'seribu', 'bahasa', '…', 'seolah', '”', 'polisi', 'berkata', 'liat', 'giliran', 'sama', 'orang', 'sekitarnya', 'biadab']",<FreqDist with 28 samples and 29 outcomes>,"['polisi', 'telah', 'aniaya', 'wanita', 'uighur', 'leher', 'cekik', 'pake', 'kaki', 'melek', 'tu', 'bilang', 'ada', 'aniaya', 'ham', 'diam', 'ribu', 'bahasa', '', 'olah', '', 'polisi', 'kata', 'liat', 'gilir', 'sama', 'orang', 'sekitar', 'biadab']",0,negative,-1
"Akhirnya, Jokowi bersedia mengundurkan diri","Akhirnya, Jokowi bersedia mengundurkan diri.
 Gue harus siap2 nih",akhirnya jokowi bersedia mengundurkan diri gue siap,"['akhirnya', 'jokowi', 'bersedia', 'mengundurkan', 'diri', 'gue', 'siap']",<FreqDist with 7 samples and 7 outcomes>,"['akhir', 'jokowi', 'sedia', 'undur', 'diri', 'gue', 'siap']",-2,negative,-1
Info Jalur Rawan Begal dan Himbauan Untuk Tidak Keluar Malam Oleh Kapolres Cianjur,"Begal sudah mulai merambat ke wilayah CIANJUR…!!!
 Wilayah rewan begal antara lain, d harapkan waspada penuh terutama d malam hari…
 01. jalur gekbrong arah sukabmi…
 02. Cibeber dari arah campaka sampe
 cilaku.",begal mulai merambat wilayah cianjur… wilayah rewan begal lain harapkan waspada penuh terutama malam hari… jalur gekbrong arah sukabmi… cibeber arah campaka sampe cilaku,"['begal', 'mulai', 'merambat', 'wilayah', 'cianjur…', 'wilayah', 'rewan', 'begal', 'lain', 'harapkan', 'waspada', 'penuh', 'terutama', 'malam', 'hari…', 'jalur', 'gekbrong', 'arah', 'sukabmi…', 'cibeber', 'arah', 'campaka', 'sampe', 'cilaku']",<FreqDist with 21 samples and 24 outcomes>,"['begal', 'mulai', 'rambat', 'wilayah', 'cianjur', 'wilayah', 'rewan', 'begal', 'lain', 'harap', 'waspada', 'penuh', 'utama', 'malam', 'hari', 'jalur', 'gekbrong', 'arah', 'sukabmi', 'cibeber', 'arah', 'campaka', 'sampe', 'cilaku']",-20,negative,-1
Dirut PT Agung Podomoro Land Cosmas Batubara Meninggal Dunia,"Turut berduka cita atas
 meninggalnya Pejuang Angkatan 66 Bapak Cosmas Batubara hari Sabtu 27 Juli 2019 pukul 15.00 WIB. Semoga Yang Maha Kuasa mengampuni segala dosanya dan mendapat tempat yang layak disisi Nya.. Aamiin.",turut berduka cita atas meninggalnya pejuang angkatan bapak cosmas batubara hari sabtu juli pukul wib semoga maha kuasa mengampuni segala dosanya mendapat tempat layak disisi aamiin,"['turut', 'berduka', 'cita', 'atas', 'meninggalnya', 'pejuang', 'angkatan', 'bapak', 'cosmas', 'batubara', 'hari', 'sabtu', 'juli', 'pukul', 'wib', 'semoga', 'maha', 'kuasa', 'mengampuni', 'segala', 'dosanya', 'mendapat', 'tempat', 'layak', 'disisi', 'aamiin']",<FreqDist with 26 samples and 26 outcomes>,"['turut', 'duka', 'cita', 'atas', 'tinggal', 'juang', 'angkat', 'bapak', 'cosmas', 'batubara', 'hari', 'sabtu', 'juli', 'pukul', 'wib', 'moga', 'maha', 'kuasa', 'ampun', 'segala', 'dosa', 'dapat', 'tempat', 'layak', 'sisi', 'aamiin']",-13,negative,-1
